1783989952.313468, CLIP GPU encode pilot, pipeline, prepare, start, 81821666397208
1783989961.561193, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830913903541
1783989961.611100, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830963817041
1783989961.611149, CLIP GPU encode pilot, pipeline - val, run, end, 83635497851570239249873547012445582868, 1783989961.558924, 1, 92, 81830963861833
1783989961.611273, CLIP GPU encode pilot, pipeline - val, run, start, 237820881947901335921888448186884047619, 1783989961.611256, 1, 93, 81830963983875
1783989961.611336, CLIP GPU encode pilot, VQA dataloader, run, start, 81830964047750
1783989961.614085, CLIP GPU encode pilot, VQA dataloader, run, end, 81830966798083
1783989961.614138, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830966848458
1783989961.664062, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81831016777583
1783989961.664105, CLIP GPU encode pilot, pipeline - val, run, end, 237820881947901335921888448186884047619, 1783989961.611256, 1, 93, 81831016818500
1783989961.664230, CLIP GPU encode pilot, pipeline - val, run, start, 213698916518482003245944760828628846738, 1783989961.664213, 1, 94, 81831016941916
1783989961.664284, CLIP GPU encode pilot, VQA dataloader, run, start, 81831016995333
1783989961.665796, CLIP GPU encode pilot, VQA dataloader, run, end, 81831018508666
1783989961.665844, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81831018554333
1783989961.715508, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81831068224208
1783989961.715553, CLIP GPU encode pilot, pipeline - val, run, end, 213698916518482003245944760828628846738, 1783989961.664213, 1, 94, 81831068266375
1783989961.715674, CLIP GPU encode pilot, pipeline - val, run, start, 128084021037095199836630160278227670022, 1783989961.715657, 1, 95, 81831068385041
1783989961.715737, CLIP GPU encode pilot, VQA dataloader, run, start, 81831068447166
1783989961.717266, CLIP GPU encode pilot, VQA dataloader, run, end, 81831069977875
1783989961.717311, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81831070020291
1783989961.766866, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81831119580416
1783989961.766911, CLIP GPU encode pilot, pipeline - val, run, end, 128084021037095199836630160278227670022, 1783989961.715657, 1, 95, 81831119623666
1783989961.767042, CLIP GPU encode pilot, pipeline - val, run, start, 176917114821819820403219724115768627170, 1783989961.767025, 1, 96, 81831119753583
1783989961.767100, CLIP GPU encode pilot, VQA dataloader, run, start, 81831119809833
1783989961.769425, CLIP GPU encode pilot, VQA dataloader, run, end, 81831122136416
1783989961.769477, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81831122186333
1783989961.819346, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81831172059833
1783989961.819389, CLIP GPU encode pilot, pipeline - val, run, end, 176917114821819820403219724115768627170, 1783989961.767025, 1, 96, 81831172101416
1783989961.819529, CLIP GPU encode pilot, pipeline - val, run, start, 297016384803895730377716330392170090581, 1783989961.819512, 1, 97, 81831172239666
1783989961.819586, CLIP GPU encode pilot, VQA dataloader, run, start, 81831172296041
1783989961.820714, CLIP GPU encode pilot, VQA dataloader, run, end, 81831173424416
1783989961.820760, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81831173469166
1783989961.870374, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81831223088500
1783989961.870417, CLIP GPU encode pilot, pipeline - val, run, end, 297016384803895730377716330392170090581, 1783989961.819512, 1, 97, 81831223128833
1783989961.870544, CLIP GPU encode pilot, pipeline - val, run, start, 329031454698820705802969226097694798928, 1783989961.870527, 1, 98, 81831223254125
1783989961.870598, CLIP GPU encode pilot, VQA dataloader, run, start, 81831223307541
1783989961.872025, CLIP GPU encode pilot, VQA dataloader, run, end, 81831224736125
1783989961.872060, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81831224770083
1783989961.921533, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81831274252041
1783989961.921588, CLIP GPU encode pilot, pipeline - val, run, end, 329031454698820705802969226097694798928, 1783989961.870527, 1, 98, 81831274300791
1783989961.921737, CLIP GPU encode pilot, pipeline - val, run, start, 31089811950965742593233731397035713110, 1783989961.921718, 1, 99, 81831274447625
1783989961.921796, CLIP GPU encode pilot, VQA dataloader, run, start, 81831274510333
1783989961.923430, CLIP GPU encode pilot, VQA dataloader, run, end, 81831276140625
1783989961.923465, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81831276174416
1783989961.973216, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81831325929666
1783989961.973265, CLIP GPU encode pilot, pipeline - val, run, end, 31089811950965742593233731397035713110, 1783989961.921718, 1, 99, 81831325976875
1783989961.973455, CLIP GPU encode pilot, pipeline - val, run, start, 172124492947259354359220190019850643488, 1783989961.973401, 1, 100, 81831326163916
1783989961.973516, CLIP GPU encode pilot, VQA dataloader, run, start, 81831326224708
1783989961.975981, CLIP GPU encode pilot, VQA dataloader, run, end, 81831328692291
1783989961.976035, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81831328743041
1783989962.025805, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81831378517916
1783989962.025852, CLIP GPU encode pilot, pipeline - val, run, end, 172124492947259354359220190019850643488, 1783989961.973401, 1, 100, 81831378563000
