1769611524.408986, EfficientNetv2 S Imagenette training, pipeline, prepare, start
1769614569.488424, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614569.488663, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614569.488712, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614569.575834, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614569.575893, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614569.488372, 1, 80
1769614569.575976, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614569.575959, 1, 81
1769614569.576012, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614569.576266, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614569.576333, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614569.664414, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614569.664474, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614569.575959, 1, 81
1769614569.664549, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614569.664532, 1, 82
1769614569.664588, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614569.664886, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614569.664914, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614569.752248, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614569.752307, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614569.664532, 1, 82
1769614569.752395, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614569.752374, 1, 83
1769614569.752432, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614569.752660, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614569.752692, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614569.840144, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614569.840196, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614569.752374, 1, 83
1769614569.840286, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614569.840266, 1, 84
1769614569.840332, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614569.840580, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614569.840647, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614569.930147, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614569.930215, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614569.840266, 1, 84
1769614569.930313, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614569.930290, 1, 85
1769614569.930362, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614569.930622, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614569.930656, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614570.018549, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614570.018607, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614569.930290, 1, 85
1769614570.018703, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614570.018681, 1, 86
1769614570.018739, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614570.018974, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614570.019000, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614570.106166, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614570.106221, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614570.018681, 1, 86
1769614570.106302, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614570.106284, 1, 87
1769614570.106337, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614570.106599, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614570.106659, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614570.194596, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614570.194651, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614570.106284, 1, 87
1769614570.194731, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614570.194714, 1, 88
1769614570.194767, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614570.195021, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614570.195089, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614570.282997, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614570.283058, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614570.194714, 1, 88
1769614570.283144, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614570.283126, 1, 89
1769614570.283176, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614570.283408, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614570.283434, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614570.371176, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614570.371227, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614570.283126, 1, 89
1769614570.371313, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614570.371296, 1, 90
1769614570.371344, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614570.371577, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614570.371604, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614570.458667, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614570.458718, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614570.371296, 1, 90
1769614570.458798, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614570.458783, 1, 91
1769614570.458831, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614570.459052, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614570.459093, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614570.546971, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614570.547039, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614570.458783, 1, 91
1769614570.547123, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614570.547106, 1, 92
1769614570.547159, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614570.547401, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614570.547430, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614570.634414, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614570.634478, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614570.547106, 1, 92
1769614570.634597, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614570.634578, 1, 93
1769614570.634640, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614570.634909, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614570.634990, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614570.725420, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614570.725479, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614570.634578, 1, 93
1769614570.725563, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614570.725548, 1, 94
1769614570.725603, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614570.725911, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614570.725970, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614570.816607, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614570.816675, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614570.725548, 1, 94
1769614570.816775, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614570.816750, 1, 95
1769614570.816825, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614570.817093, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614570.817161, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614570.906081, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614570.906136, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614570.816750, 1, 95
1769614570.906227, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614570.906201, 1, 96
1769614570.906265, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614570.906525, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614570.906552, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614570.994838, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614570.994906, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614570.906201, 1, 96
1769614570.994992, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614570.994973, 1, 97
1769614570.995038, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614570.995333, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614570.995433, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614571.083679, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614571.083743, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614570.994973, 1, 97
1769614571.083845, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614571.083824, 1, 98
1769614571.083884, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614571.084156, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614571.084228, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614571.172990, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614571.173044, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614571.083824, 1, 98
1769614571.173133, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614571.173112, 1, 99
1769614571.173169, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614571.173417, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614571.173460, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614571.261014, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614571.261076, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614571.173112, 1, 99
1769614571.261222, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614571.261141, 1, 100
1769614571.261317, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614571.261600, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614571.261636, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614571.348360, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614571.348417, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614571.261141, 1, 100
1769614820.097486, EfficientNetv2 S Imagenette training, pipeline, prepare, start
1769614820.097799, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, start
1769614820.098005, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, end
1769614820.098026, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, start
1769614820.621279, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, end
1769614820.621356, EfficientNetv2 S Imagenette training, pipeline, prepare, end
1769614820.622262, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614820.622220, 1, 1
1769614820.622349, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614827.003817, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614827.003955, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614827.708688, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614827.708775, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614820.622220, 1, 1
1769614827.708950, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614827.708914, 1, 2
1769614827.709011, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614827.709341, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614827.709394, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614827.808264, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614827.809669, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614827.708914, 1, 2
1769614827.809785, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614827.809741, 1, 3
1769614827.809852, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614827.810202, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614827.810297, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614827.890195, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614827.890619, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614827.809741, 1, 3
1769614827.890702, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614827.890686, 1, 4
1769614827.890745, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614827.891016, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614827.891126, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614827.969020, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614827.969416, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614827.890686, 1, 4
1769614827.969499, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614827.969481, 1, 5
1769614827.969538, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614827.969800, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614827.969882, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614828.047502, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614828.047763, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614827.969481, 1, 5
1769614828.047849, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614828.047826, 1, 6
1769614828.047892, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614828.048136, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614828.048163, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614828.126204, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614828.126594, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614828.047826, 1, 6
1769614828.126681, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614828.126662, 1, 7
1769614828.126725, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614828.126964, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614828.126993, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614828.205729, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614828.206196, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614828.126662, 1, 7
1769614828.206286, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614828.206263, 1, 8
1769614828.206325, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614828.206614, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614828.206693, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614828.284206, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614828.284672, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614828.206263, 1, 8
1769614828.284758, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614828.284737, 1, 9
1769614828.284793, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614828.285104, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614828.285173, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614828.396104, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614828.396989, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614828.284737, 1, 9
1769614828.397168, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614828.397121, 1, 10
1769614828.397282, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614828.397877, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614828.397926, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614828.464710, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614828.465164, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614828.397121, 1, 10
1769614828.465245, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614828.465220, 1, 11
1769614828.465281, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614828.465496, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614828.465530, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614828.543479, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614828.543830, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614828.465220, 1, 11
1769614828.543939, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614828.543916, 1, 12
1769614828.544006, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614828.544269, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614828.544318, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614828.622933, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614828.623324, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614828.543916, 1, 12
1769614828.623395, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614828.623373, 1, 13
1769614828.623442, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614828.623701, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614828.623768, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614828.701971, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614828.702256, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614828.623373, 1, 13
1769614828.702341, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614828.702313, 1, 14
1769614828.702402, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614828.702740, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614828.702829, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614828.781312, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614828.781638, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614828.702313, 1, 14
1769614828.781731, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614828.781701, 1, 15
1769614828.781824, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614828.782102, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614828.782178, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614828.860288, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614828.860612, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614828.781701, 1, 15
1769614828.860742, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614828.860720, 1, 16
1769614828.860791, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614828.861081, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614828.861110, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614828.939243, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614828.939629, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614828.860720, 1, 16
1769614828.939703, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614828.939685, 1, 17
1769614828.939741, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614828.940005, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614828.940064, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614829.018536, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614829.018815, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614828.939685, 1, 17
1769614829.018897, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614829.018877, 1, 18
1769614829.018942, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614829.019180, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614829.019263, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614829.097684, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614829.098103, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614829.018877, 1, 18
1769614829.098180, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614829.098160, 1, 19
1769614829.098242, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614829.098571, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614829.098643, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614829.180376, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614829.180839, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614829.098160, 1, 19
1769614829.180946, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614829.180922, 1, 20
1769614829.181025, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614829.181317, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614829.181352, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614829.259854, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614829.260176, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614829.180922, 1, 20
1769614829.260247, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614829.260225, 1, 21
1769614829.260293, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614829.260524, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614829.260604, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614829.338994, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614829.339555, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614829.260225, 1, 21
1769614829.339634, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614829.339613, 1, 22
1769614829.339683, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614829.339950, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614829.339979, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614829.417899, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614829.418213, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614829.339613, 1, 22
1769614829.418293, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614829.418267, 1, 23
1769614829.418353, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614829.418631, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614829.418665, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614829.497170, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614829.497458, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614829.418267, 1, 23
1769614829.497582, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614829.497551, 1, 24
1769614829.497644, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614829.497935, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614829.497975, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614829.576735, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614829.577022, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 269953892152018081952942273980300333585, 1769614829.497551, 1, 24
1769614829.577090, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 269953892152018081952942273980300333585, 1769614829.577069, 1, 25
